,external_urls,followers,genres,href,id,images,name,popularity,type,uri
10,{'spotify': 'https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb'},"{'href': None, 'total': 4406045}","['australian psych', 'neo-psychedelic']",https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb,"[{'height': 640, 'url': 'https://i.scdn.co/image/a7cb9fc6df8b68fdb071156add87284c3c941a04', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/135442e5a19db953eb2f48ff39ff8c4c985dc7e1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/edc87a3af030da0e1d671d20d734528c8d4e880e', 'width': 160}]",Tame Impala,82,artist,spotify:artist:5INjqkS1o8h1imAzPqGZBb
11,{'spotify': 'https://open.spotify.com/artist/03d2mJXSMtuPI0nIvLnhoS'},"{'href': None, 'total': 55869}",['german pop'],https://api.spotify.com/v1/artists/03d2mJXSMtuPI0nIvLnhoS,03d2mJXSMtuPI0nIvLnhoS,"[{'height': 640, 'url': 'https://i.scdn.co/image/779af90f2c05c188496887bc17c269fe94e5ebbe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/bca9aeda13c70d2b0c13aade3d5cd26846d8a8b7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5f9e3c93afd1592ef1141ff8ffa590207f320244', 'width': 160}]",Zoe Wees,68,artist,spotify:artist:03d2mJXSMtuPI0nIvLnhoS
12,{'spotify': 'https://open.spotify.com/artist/28EyduqESEOVMO6vglvaUZ'},"{'href': None, 'total': 25736}","['indie r&b', 'indie soul', 'uk alternative pop']",https://api.spotify.com/v1/artists/28EyduqESEOVMO6vglvaUZ,28EyduqESEOVMO6vglvaUZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/9b0f4b05a85276af2094f52cc63a630083aa5ad7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/428e6205a2a0cfa18f064ddcb2b4be25162929ae', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8b28d96f552db7ba16dd09c84fa9221f896849a5', 'width': 160}]",Joesef,58,artist,spotify:artist:28EyduqESEOVMO6vglvaUZ
13,{'spotify': 'https://open.spotify.com/artist/2Q9c6ETFOkDDTy53U7DIgr'},"{'href': None, 'total': 207072}",[],https://api.spotify.com/v1/artists/2Q9c6ETFOkDDTy53U7DIgr,2Q9c6ETFOkDDTy53U7DIgr,"[{'height': 640, 'url': 'https://i.scdn.co/image/8dc6dcf1dc771c8a8b73f08828399d64da24b9a7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b231101747a57b68c56dcb2ecc68e1a13dea721e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a192fdbdf48fa96643ffc9e9c019b7f0c381d52a', 'width': 160}]",Maximillian,66,artist,spotify:artist:2Q9c6ETFOkDDTy53U7DIgr
14,{'spotify': 'https://open.spotify.com/artist/1l2NYhptmHjo64MDOcej1x'},"{'href': None, 'total': 13033}",['swedish pop'],https://api.spotify.com/v1/artists/1l2NYhptmHjo64MDOcej1x,1l2NYhptmHjo64MDOcej1x,"[{'height': 640, 'url': 'https://i.scdn.co/image/2e0f86c562f891e2e618f6f343f3e586437ba566', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c3a77df2e960112e7a67e55c60cc4dc8583c2dcc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ccb2471997e299e05b3c8a04ea5f4744cdb97348', 'width': 160}]",LOVA,54,artist,spotify:artist:1l2NYhptmHjo64MDOcej1x
15,{'spotify': 'https://open.spotify.com/artist/6SLddo53tvP0cJdocEutfV'},"{'href': None, 'total': 30809}",['french indie pop'],https://api.spotify.com/v1/artists/6SLddo53tvP0cJdocEutfV,6SLddo53tvP0cJdocEutfV,"[{'height': 640, 'url': 'https://i.scdn.co/image/0bace5514053d5d7e4b4eb4ffc62b056e2bac8a0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d9af4a61ce6d20c237674641432d243548b1ff54', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a73885e237c6b43a4bcc342bf722fa87adc19bf7', 'width': 160}]",Hollysiz,43,artist,spotify:artist:6SLddo53tvP0cJdocEutfV
16,{'spotify': 'https://open.spotify.com/artist/3qnGvpP8Yth1AqSBMqON5x'},"{'href': None, 'total': 1120287}","['modern blues', 'soul']",https://api.spotify.com/v1/artists/3qnGvpP8Yth1AqSBMqON5x,3qnGvpP8Yth1AqSBMqON5x,"[{'height': 640, 'url': 'https://i.scdn.co/image/2ef080e352a66846b67fc5c57701e33d4942eae2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cda9131eb6fd9b0edfae8f750610c120d02b011b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c05f19be6a1bbf685dafeedb9e40685cb0aa3fc0', 'width': 160}]",Leon Bridges,76,artist,spotify:artist:3qnGvpP8Yth1AqSBMqON5x
17,{'spotify': 'https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14'},"{'href': None, 'total': 4811631}","['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",https://api.spotify.com/v1/artists/0hEurMDQu99nJRq8pTxO14,0hEurMDQu99nJRq8pTxO14,"[{'height': 640, 'url': 'https://i.scdn.co/image/093f63fe03e52d014286eb6e0afa9a099214cf65', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c0f28fcc6e8482b2e49bd5a3720200d4e5a1875b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f5496e2e528f2715933c774a136cc3a42d6f0803', 'width': 160}]",John Mayer,82,artist,spotify:artist:0hEurMDQu99nJRq8pTxO14
18,{'spotify': 'https://open.spotify.com/artist/3Bd1cgCjtCI32PYvDC3ynO'},"{'href': None, 'total': 1131174}","['metropopolis', 'nottingham indie']",https://api.spotify.com/v1/artists/3Bd1cgCjtCI32PYvDC3ynO,3Bd1cgCjtCI32PYvDC3ynO,"[{'height': 640, 'url': 'https://i.scdn.co/image/e3918969a81d252c5691f2b9339bd46e82bdd4da', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c5054e8872b548ec6514befce8f150e2289d47f0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8bca78be7efd518d688db3616e91e79c4c214ae6', 'width': 160}]",London Grammar,70,artist,spotify:artist:3Bd1cgCjtCI32PYvDC3ynO
19,{'spotify': 'https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov'},"{'href': None, 'total': 2207645}","['electropop', 'pop']",https://api.spotify.com/v1/artists/5IH6FPUwQTxPSXurCrcIov,5IH6FPUwQTxPSXurCrcIov,"[{'height': 640, 'url': 'https://i.scdn.co/image/3456c9584254a3269549795b0bd63e841a86e974', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0ecf06ff8b3c2de5a75c74ba63950527ac865261', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e36715c0f8961415579186584a5b0c3f06eaf183', 'width': 160}]",Alec Benjamin,79,artist,spotify:artist:5IH6FPUwQTxPSXurCrcIov
