,external_urls,followers,genres,href,id,images,name,popularity,type,uri
10,{'spotify': 'https://open.spotify.com/artist/2sYOUJa6fNc4ke4Zo6EkZ4'},"{'href': None, 'total': 78943}","['chanson', 'francoton', 'french pop', 'variete francaise']",https://api.spotify.com/v1/artists/2sYOUJa6fNc4ke4Zo6EkZ4,2sYOUJa6fNc4ke4Zo6EkZ4,"[{'height': 640, 'url': 'https://i.scdn.co/image/9e6ba99940079176a2d6376b7356663107e849fe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d683c63d8a2b22ef51e554c99f6d6bf2b818ae77', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8ebded82c7b87794a2d9e58475c0a77f96bb5ec5', 'width': 160}]",Les Frangines,53,artist,spotify:artist:2sYOUJa6fNc4ke4Zo6EkZ4
11,{'spotify': 'https://open.spotify.com/artist/0vmrFTWCwK3gFGDzeUzeMg'},"{'href': None, 'total': 342805}","['chanson', 'francoton', 'french pop', 'variete francaise']",https://api.spotify.com/v1/artists/0vmrFTWCwK3gFGDzeUzeMg,0vmrFTWCwK3gFGDzeUzeMg,"[{'height': 640, 'url': 'https://i.scdn.co/image/57730070a0ac081225115a9065e9df58e799e6e3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/21a9a903e1bd584dd334ca02fb4cc23de888a8e7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/24f18b74b8be2bcc94e1aa2935d5d598f9ff2044', 'width': 160}]",Patrick Bruel,56,artist,spotify:artist:0vmrFTWCwK3gFGDzeUzeMg
12,{'spotify': 'https://open.spotify.com/artist/1NCrHXp9R3ogv8ezWWHFNs'},"{'href': None, 'total': 132897}","['chanson', 'french pop', 'french rock']",https://api.spotify.com/v1/artists/1NCrHXp9R3ogv8ezWWHFNs,1NCrHXp9R3ogv8ezWWHFNs,"[{'height': 640, 'url': 'https://i.scdn.co/image/e8c3c8a0aba20fa0570cb717a7be7227cbf64947', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/084ba89ed0f92c9481f5444c3e0a388aef6de360', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9f525a01c07f1badd805166fb793dd6688b599bd', 'width': 160}]",Jean-Louis Aubert,52,artist,spotify:artist:1NCrHXp9R3ogv8ezWWHFNs
13,{'spotify': 'https://open.spotify.com/artist/5nH2klYTzn8CNvUv1GOGQO'},"{'href': None, 'total': 617680}","['francoton', 'pop urbaine']",https://api.spotify.com/v1/artists/5nH2klYTzn8CNvUv1GOGQO,5nH2klYTzn8CNvUv1GOGQO,"[{'height': 640, 'url': 'https://i.scdn.co/image/b884f767547c69aba13d8ff3eff3495ca5633dd4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/23a27f729b3436d0d65e030cb8f6f3ce4f8190e0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a2f274cdc013731535ec11b1988a2b3930481c11', 'width': 160}]",Eva,63,artist,spotify:artist:5nH2klYTzn8CNvUv1GOGQO
14,{'spotify': 'https://open.spotify.com/artist/6ogXCiVOaz2afPmMNHph7Z'},"{'href': None, 'total': 144767}","['chanson', 'french pop']",https://api.spotify.com/v1/artists/6ogXCiVOaz2afPmMNHph7Z,6ogXCiVOaz2afPmMNHph7Z,"[{'height': 640, 'url': 'https://i.scdn.co/image/ac1826c9177f879725292160849f2f656ad46d56', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ba5f19d9e755397fd3e6d2c6e386a16a9ee72655', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/39c34d94c684b81a6c7b3f683890a36a5cbdf001', 'width': 160}]",Laurent Voulzy,54,artist,spotify:artist:6ogXCiVOaz2afPmMNHph7Z
15,{'spotify': 'https://open.spotify.com/artist/4ZgQDCtRqZlhLswVS6MHN4'},"{'href': None, 'total': 689046}","['modern alternative rock', 'modern rock', 'rock']",https://api.spotify.com/v1/artists/4ZgQDCtRqZlhLswVS6MHN4,4ZgQDCtRqZlhLswVS6MHN4,"[{'height': 640, 'url': 'https://i.scdn.co/image/daa5800a412067cd1c02bc4d63de69665f82f2f6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/544ce8f694c2462235119f68d4bcead414650ba9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c98c47bf6ba8068f8b0d0943ef19a6bae8418dbb', 'width': 160}]",grandson,77,artist,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4
16,{'spotify': 'https://open.spotify.com/artist/5LVp2pGNzmOQqXzziBBR5x'},"{'href': None, 'total': 176014}","['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",https://api.spotify.com/v1/artists/5LVp2pGNzmOQqXzziBBR5x,5LVp2pGNzmOQqXzziBBR5x,"[{'height': 640, 'url': 'https://i.scdn.co/image/9613c8b32f56fd17f1b0de4876c74658f94c4254', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e1faf391f4b13e6dc515066ebff6b7be6c9dbec7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3a14f335023f6276bea17665eb070e6fcc0c8408', 'width': 160}]",Alain Souchon,57,artist,spotify:artist:5LVp2pGNzmOQqXzziBBR5x
17,{'spotify': 'https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH'},"{'href': None, 'total': 10198879}","['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH,7Ln80lUS6He07XvHI8qqHH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ed0552e9746ed2bbf04ae4bcb5525700ca31522d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/73c4e49abed008fe0c5e4f1437b8b486c7670ecd', 'width': 160}]",Arctic Monkeys,86,artist,spotify:artist:7Ln80lUS6He07XvHI8qqHH
18,{'spotify': 'https://open.spotify.com/artist/0e04xgVBPU6mE2QkSHlufD'},"{'href': None, 'total': 270534}","['chanson', 'french pop', 'french synthpop']",https://api.spotify.com/v1/artists/0e04xgVBPU6mE2QkSHlufD,0e04xgVBPU6mE2QkSHlufD,"[{'height': 640, 'url': 'https://i.scdn.co/image/b570b196c84ebdc8dc0e05f80a831309a4c92b82', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/47aba3a7b7a18b97669b0e186f6f120e3bb06185', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/76940d741d90df2b74f3dd193379756976be9da2', 'width': 160}]",Mylène Farmer,60,artist,spotify:artist:0e04xgVBPU6mE2QkSHlufD
19,{'spotify': 'https://open.spotify.com/artist/7z81ZKKEcOOwPs7V3JhCGY'},"{'href': None, 'total': 5057}",[],https://api.spotify.com/v1/artists/7z81ZKKEcOOwPs7V3JhCGY,7z81ZKKEcOOwPs7V3JhCGY,"[{'height': 640, 'url': 'https://i.scdn.co/image/184fd6fb8606e894c532997246f4ead2c8391f03', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/341934776449eb9107e11a9db7cc543f70da473b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/fff31eea0f61a60fd1b98ee83247a983975cc8ca', 'width': 160}]",Maxime Manot',22,artist,spotify:artist:7z81ZKKEcOOwPs7V3JhCGY
